Player Name,Player ID,Hands,VPIP %,PFR %,3-Bet %,Fold to 3-Bet %,4-Bet %,Fold to 4-Bet %,C-Bet %,Fold to C-Bet %,AF,WTSD %,W$SD %,WWSF %,WWSR %
"lmm","lmm",835,54.0,12.2,4.6,74.3,2.8,73.3,55.9,62.8,1.62,21.6,65.9,30.2,43.2
"cy","cy",588,25.7,17.5,6.7,77.3,11.4,20.0,66.7,55.6,4.04,23.7,66.7,40.3,46.6
"hyq","hyq",630,25.6,18.9,7.7,84.9,3.8,71.4,44.0,65.0,3.31,20.6,65.6,37.4,45.0
"zjq","zjq",521,28.8,17.5,9.6,70.2,14.0,55.6,60.0,58.8,2.19,37.7,36.4,32.9,46.2
"wjh","wjh",724,24.4,14.9,9.7,84.4,4.7,50.0,60.6,37.0,2.82,38.1,54.1,41.9,53.7
"wmy","wmy",57,40.4,8.8,3.8,70.0,0.0,100.0,75.0,57.1,2.0,4.5,0.0,22.7,28.6
"Nuo","Nuo",251,26.3,7.2,3.7,88.5,11.5,66.7,90.9,81.8,2.75,19.0,54.5,24.1,30.0
"hzh","hzh",462,26.8,13.4,9.7,72.0,8.0,66.7,75.7,40.6,1.74,66.1,51.3,36.5,54.3
"wn","wn",81,24.7,7.4,0.0,70.0,0.0,100.0,66.7,50.0,1.11,31.8,57.1,36.4,55.6
"mouyu1021","mouyu1021",505,62.2,12.1,4.0,82.3,3.2,81.8,67.6,60.4,0.95,31.3,62.1,34.5,49.6
"nw","nw",378,33.9,14.8,6.9,62.8,4.7,40.0,62.9,57.1,1.16,23.8,65.5,27.0,35.0
"L4tent(2)","L4tent(2)",256,40.6,18.4,5.9,78.4,5.4,100.0,85.2,62.1,2.03,43.5,40.0,40.2,46.7
"ran","ran",16,37.5,18.8,0.0,0,0,0.0,0,50.0,0.5,20.0,0.0,0.0,0.0
"wyf","wyf",91,27.5,19.8,10.8,70.0,20.0,0,50.0,25.0,1.22,63.2,41.7,42.1,40.0
"zqs","zqs",312,29.2,17.3,8.7,82.8,0.0,66.7,44.1,47.4,2.0,50.0,48.8,36.0,45.8
"ranipad","ranipad",94,36.2,12.8,8.7,75.0,0.0,100.0,66.7,50.0,1.0,41.9,53.8,35.5,46.7
"LAN","LAN",172,40.7,7.6,0.0,80.0,0.0,100.0,70.0,47.4,1.44,22.7,66.7,33.3,37.1
"QQ","QQ",4,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0
"SW","SW",238,28.6,13.9,6.1,73.9,17.4,50.0,94.7,62.5,2.23,81.2,37.5,31.9,42.4
"qkc","qkc",55,60.0,30.9,26.9,40.0,0.0,50.0,87.5,41.7,2.09,60.7,58.8,35.7,41.7
"zengy","zengy",22,59.1,9.1,0.0,100.0,0.0,100.0,100.0,33.3,0.71,33.3,75.0,33.3,80.0
"latent","latent",111,47.7,19.8,8.0,73.3,6.7,66.7,81.2,61.1,0.89,31.4,50.0,33.3,47.6
"luoyueAA","luoyueAA",416,53.1,5.5,3.0,70.7,8.6,60.0,54.5,53.2,1.0,25.0,71.4,33.2,56.8
"zengy1","zengy1",151,54.3,8.6,5.0,65.0,5.0,100.0,57.1,38.5,0.96,17.6,53.8,21.6,33.3
"peng","peng",238,42.0,12.2,10.6,86.2,3.4,75.0,75.0,50.0,2.12,37.8,58.8,35.6,51.2
"Richard","Richard",20,40.0,0.0,0.0,50.0,0.0,0,0,100.0,1.25,22.2,0.0,22.2,20.0
